tool_name,primary_domain,category,risk_score,risk_band,trains_on_input_default,has_enterprise_tier,hosting_region,gdpr_safe_default,certifications,data_retention_notes,notes
ChatGPT (Free/Plus),chatgpt.com,LLM_CHAT,7,HIGH,yes,yes,US,no,SOC2-Type2,30 days for abuse review; chats may be used for training,Free and Plus tiers train by default unless opted out in Settings; data goes to OpenAI US infrastructure
ChatGPT Team,chatgpt.com,LLM_CHAT,3,LOW,no,yes,US,conditional,SOC2-Type2;CSA-STAR,Not used for training; admin retention controls,Workspace-bound; SAML SSO; admin console
ChatGPT Enterprise,chatgpt.com,LLM_CHAT,2,LOW,no,yes,multi,yes,SOC2-Type2;CSA-STAR;ISO27001,Custom retention; encrypted at rest,Enterprise-grade with DPA; SCIM; data residency options
Claude.ai (Free/Pro),claude.ai,LLM_CHAT,3,LOW,no,yes,US,conditional,SOC2-Type2;HIPAA-eligible,30 days unless flagged for safety,Anthropic does not train on user inputs by default; opt-in only
Claude for Work,claude.ai,LLM_CHAT,2,LOW,no,yes,multi,yes,SOC2-Type2;ISO27001;HIPAA-eligible,Configurable retention,Team and Enterprise plans; SSO; admin controls
Google Gemini (Consumer),gemini.google.com,LLM_CHAT,6,MEDIUM,configurable,yes,US,no,SOC2;ISO27001,Up to 18 months by default,Consumer Gemini may use conversations for product improvement; can disable Gemini Apps Activity
Gemini for Workspace,workspace.google.com,LLM_CHAT,3,LOW,no,yes,multi,yes,SOC2;ISO27001;ISO27017;ISO27018,Bound to Workspace retention,Does not use enterprise data to train models; covered by Workspace DPA
Microsoft Copilot (Consumer),copilot.microsoft.com,LLM_CHAT,6,MEDIUM,configurable,yes,US,no,SOC2;ISO27001,Varies by account type,Consumer version different from M365 Copilot
Microsoft 365 Copilot,microsoft.com/copilot,EMBEDDED,3,LOW,no,yes,multi,yes,SOC2;ISO27001;HIPAA-BAA,Bound to M365 retention,Enterprise-grade; data stays within tenant boundary
Perplexity AI,perplexity.ai,SEARCH,6,MEDIUM,configurable,yes,US,no,SOC2,Queries retained for service improvement,Enterprise tier offers no-training and SOC2; consumer tier retains
